name,neighborhood,address,x,y
COPRA,Downtown,"313 CHARLES ST
Baltimore, MD",711,797
CORKS,Federal Hill,"1026 CHARLES ST
Baltimore, MD",187,741
CORKY'S GRILL,Remington,"225 23RD ST
Baltimore, MD",294,686
CORRADO'S CAFÂ,Downtown,"203 REDWOOD ST
Baltimore, MD",590,65
"COSI, INC. # 157",Inner Harbor,"100 CHARLES ST
Baltimore, MD",907,635
COSMOPOLITAN BAR & GRILL,Canton,"2933 O DONNELL ST
Baltimore, MD",51,601
COSMOS RESTAURANT-CARRYOUT (5427-29),Harford-Echodale/Perring Parkway,"5427 HARFORD RD
Baltimore, MD",4,530
COTTON CLUB,Midtown-Edmondson,"2000 HARLEM AVE
Baltimore, MD",624,435
courthouse east cafâ€š',Downtown,"111 calvert st
Baltimore, MD",514,176
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,Inner Harbor,"1000 ALICEANNA ST
Baltimore, MD",973,389
crazy johns,Downtown,"410 BALTIMORE ST
Baltimore, MD",634,802
CRAZY LIL'S,Federal Hill,"27 CROSS ST
Baltimore, MD",312,524
CREATIVE ALLIANCE,Canton,"3134 EASTERN AVE
Baltimore, MD",86,541
CREPE DU JOUR,Mount Washington,"1609 SULGRAVE AVE
Baltimore, MD",973,846
CROSSROADS SPORTS PUB & GRILL,Canton,"3328 FOSTER AVE
Baltimore, MD",110,545
CURB SHOPPE,North Roland Park/Poplar Hill,"5736 FALLS RD
Baltimore, MD",67,719
CURLEY ST.  CAFÂ,Canton,"701 CURLEY ST
Baltimore, MD",707,137
CURTIS BAY ATHLETIC CLUB,Curtis Bay,"1603 CEDDOX ST
Baltimore, MD",963,936
D J'S GASLIGHT,Curtis Bay,"4900 CURTIS AVE
Baltimore, MD",9,214
DAILY  GRIND  COFFEE  HOUSE,Middle East,"720 RUTLAND AVE
Baltimore, MD",621,237
DAILY GRIND,Canton,"1030 LINWOOD AVE
Baltimore, MD",878,231
DAILY GRIND,Dunbar-Broadway,"610 WASHINGTON ST
Baltimore, MD",12,403
dalesio's of little italy llc,Little Italy,"829 EASTERN AVE
Baltimore, MD",419,832
DANCING PIGS,Washington Village,"1140 PACA ST
Baltimore, MD",887,916
DANNY'S LOUNGE,Towanda-Grantley,"4316 REISTERSTOWN RD
Baltimore, MD",61,764
DARBY'S,Morrell Park,"2351 WASHINGTON BLVD
Baltimore, MD",155,235
DARKER THAN BLUE,Better Waverly,"3034 GREENMOUNT AVE
Baltimore, MD",878,209
DASH SEAFOOD & CHICKEN,Central Park Heights,"5124 PARK HEIGHTS AVE
Baltimore, MD",959,234
DAVEY JONES LOCKER,Brewers Hill,"800 DEAN ST
Baltimore, MD",231,908
DAVID & DAD'S LLC,Downtown,"334 CHARLES ST
Baltimore, MD",224,225
DAVID'S RESTAURANT & DELI,Hampden,"3626-A FALLS RD
Baltimore, MD",434,295
DAYS INNS MANAGEMENT CO,Inner Harbor,"100 HOPKINS PLZ
Baltimore, MD",479,212
DEAD END SALOON,Fells Point,"935 FELL ST
Baltimore, MD",241,306
DEAD FREDDIES,North Harford Road,"7209 HARFORD RD
Baltimore, MD",93,378
DECADES SPORTS BAR,Curtis Bay,"4221 CURTIS AVE
Baltimore, MD",336,654
DECKERS BAR & GRILLE,Locust Point,"1401 DECATUR ST
Baltimore, MD",304,423
DEEP SIDE RESTAURANT & CAFÂ,Baltimore-Linwood,"123 CLINTON ST
Baltimore, MD",200,799
DEGO DAME'S,Little Italy,"1018 EASTERN AVE
Baltimore, MD",918,26
DELLA ROSE'S 2 CANTON CROSSING,Canton Industrial Area,"1501 CLINTON ST
Baltimore, MD",587,405
DESERT CAFE'(1605-07),Mount Washington,"1607 SULGRAVE AVE
Baltimore, MD",309,333
DESERT INN,Midtown-Edmondson,"1901 HARLEM AVE
Baltimore, MD",861,850
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),Downtown,"415 BALTIMORE ST
Baltimore, MD",564,912
DIANNE'S RESTAURANT LOUNGE,Middle East,"709 711 N CHESTER ST
Baltimore, MD",526,658
DILONE GROCERY & RESTAURANT,Baltimore-Linwood,"157 LAKEWOOD AVE
Baltimore, MD",725,710
"DIMIS CAFÂ AND GRILL, INC.",Roland Park,"500 COLDSPRING LN
Baltimore, MD",191,573
DIMITRI'S TAVERN,Hampden,"3820 FALLS RD
Baltimore, MD",164,900
DING HOW RESTAURANT,Fells Point,"631 BROADWAY
Baltimore, MD",621,393
DIONYSUS RESTAURANT & LOUNGE,Mid-Town Belvedere,"8 PRESTON ST
Baltimore, MD",366,354
DIZZY  IZZY,Remington,"300 30TH ST
Baltimore, MD",296,915
DOMINICANO INTERNACIONAL,Brewers Hill,"601 CONKLING ST
Baltimore, MD",79,746
DOMINO SUGAR CAFATERIA OPERATION # 65227,Riverside,"1100 KEY HWY
Baltimore, MD",568,856
DONNA'S,Inner Harbor,"110 PACA ST
Baltimore, MD",968,408
DONNA'S,Holabird Industrial Park,"6607 PINE AVE
Baltimore, MD",158,752
DONNA'S,Mount Vernon,"800 CHARLES ST
Baltimore, MD",755,66
"DONNA'S CHARLES VILLAGE, LLC",Charles Village,"3101 ST PAUL ST
Baltimore, MD",165,885
DONNA'S CROSS KEYS,Cross Keys,"5100 FALLS RD
Baltimore, MD",235,37
DONRITZ BAR & GRILL,Franklin Square,"1508 SARATOGA ST
Baltimore, MD",373,967
DOUGHERTY'S,Mid-Town Belvedere,"223 CHASE ST
Baltimore, MD",880,530
DOWN THE HATCH,Locust Point,"1157 HAUBERT ST
Baltimore, MD",524,240
DOWNTOWN SPORTS EXCHANGE,Inner Harbor,"200 PRATT ST
Baltimore, MD",771,207
"DREAM TAVERN, CARRIBEAN  U.S.A.",Broadway East,"2300 LAFAYETTE AVE
Baltimore, MD",139,805
DREAMS INN,Brooklyn,"527 PATAPSCO AVE
Baltimore, MD",735,60
DRIFTERS RAW BAR & GRILL,Federal Hill,"1024 CHARLES ST
Baltimore, MD",612,627
DUCK'S BLACK SATIN LOUNGE,Central Park Heights,"4559 REISTERSTOWN RD
Baltimore, MD",33,642
DUCKY PLEASURE CLUB,Canton,"900 CLINTON ST
Baltimore, MD",289,750
DUCLAW BREWING COMPANY,Gay Street,"901 BOND ST
Baltimore, MD",83,824
DUDA'S TAVERN,Fells Point,"1600 THAMES ST
Baltimore, MD",920,453
DUKEM ETHIOPIAN RESTAURANT,Mid-Town Belvedere,"1100 MARYLAND AVE
Baltimore, MD",378,317
DUNKIN DONUTS,Hampden,"1020 41ST ST
Baltimore, MD",384,278
Dunkin Donuts,Orangeville,"4022 pulaski hwy
Baltimore, MD",280,182
DUNKIN DONUTS,Cross Keys,"4535 FALLS RD
Baltimore, MD",683,260
DUNKIN DONUTS,Homeland,"5422 YORK RD
Baltimore, MD",146,874
DUNKIN DONUTS,Fallstaff,"7000 REISTERSTOWN RD
Baltimore, MD",986,600
DUNKIN DONUTS & BASKIN ROBBINS,Harford-Echodale/Perring Parkway,"5401 HARFORD RD
Baltimore, MD",261,779
DUNKIN DONUTS/BASKIN ROBBINS,Canton Industrial Area,"3600 BOSTON ST
Baltimore, MD",796,653
DUTCH POT CAFÂ,Downtown,"102 CLAY ST
Baltimore, MD",125,131
DYNASTY,Downtown,"406 BALTIMORE ST
Baltimore, MD",297,111
E C CAFÂ & CATERING,Hopkins Bayview,"5501 HOPKINS BAYVIEW CIR
Baltimore, MD",719,269
EAGLE NEST,Curtis Bay,"4800 CURTIS AVE
Baltimore, MD",313,300
EAST BALTIMORE ENTERPRISE,Jonestown,"239 GAY ST
Baltimore, MD",236,39
EASTERN HOUSE RESTAURANT,Highlandtown,"3706 EASTERN AVE
Baltimore, MD",236,326
EASTSIDE  SPORTS  SOCIAL  CLUB,Broadway East,"1203 COLLINGTON AVE
Baltimore, MD",761,207
EAT MUST BE FIRST,Seton Hill,"600 lexington st
Baltimore, MD",433,517
ECLECTIC CAFÂ,Fells Point,"723 BROADWAY
Baltimore, MD",52,175
edelweiss bakery & cafâ€š',Westfield,"6000 harford rd
Baltimore, MD",581,655
EDENS LOUNGE,Mid-Town Belvedere,"15 EAGER ST
Baltimore, MD",406,688
"EDGAR'S INC.--BALTIMORE, MD",Inner Harbor,"1 PRATT ST
Baltimore, MD",333,597
EDIE'S DELI & GRILL,Inner Harbor,"250 PRATT ST
Baltimore, MD",274,702
EDISON   LOUNGE,Ellwood Park/Monument,"3133 MONUMENT ST
Baltimore, MD",657,851
EDO SUSHI,Inner Harbor,"201 PRATT ST
Baltimore, MD",265,36
EICHENKRANZ RESTAURANT,Brewers Hill,"611 FAGLEY ST
Baltimore, MD",318,98
EL OSASIS RESTAURANT & DISCOTEC,Brewers Hill,"3919 EASTERN AVE
Baltimore, MD",444,293
EL RANCHO BLANCO,Baltimore Highlands,"100 FAGLEY ST
Baltimore, MD",926,831
EL RANCHO GRANDE,Hampden,"3608 FALLS RD
Baltimore, MD",520,629
"EL RECODO, INC.",Fells Point,"219 BROADWAY
Baltimore, MD",591,252
EL RINCONCITO PERUANO,Washington Hill,"1801 LOMBARD ST
Baltimore, MD",500,481
EL TORITO MEXICAN RESTAURANT,Downtown,"110 MULBERRY ST
Baltimore, MD",24,418
EL TROPICAL RESTAURANT (3736-38),Baltimore Highlands,"3736 LOMBARD ST
Baltimore, MD",242,465
ELDORADO INC.,Kresson,"4100 LOMBARD ST
Baltimore, MD",189,989
ELKS I.B.P.O.E.OF W.,Johnston Square,"1127 GREENMOUNT AVE
Baltimore, MD",220,167
ELLIOT'S POUR HOUSE,Brewers Hill,"3728 HUDSON ST
Baltimore, MD",257,87
EL-MOLINO,Baltimore-Linwood,"3230 FAIRMOUNT ST
Baltimore, MD",569,155
ELVIS RESTAURANT,Federal Hill,"1022 LIGHT ST
Baltimore, MD",314,632
ENRICO'S SPORTS CAFE,Highlandtown,"200 HAVEN ST
Baltimore, MD",181,609
ESPN  ZONE,Inner Harbor,"601 PRATT ST
Baltimore, MD",355,123
europe restaurant & catering,Reisterstown Station,"4147 labyrinth rd
Baltimore, MD",167,374
EVERYDAY'S LLC,Coldstream Homestead Montebello,"1600 ABBOTTSON ST
Baltimore, MD",996,640
EXCLUSIVE,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD",780,332
family diner,Fairfield Area,"3117 VERA ST
Baltimore, MD",716,732
FAMOUS RESTAURANT,Charles North,"2101 MARYLAND AVE
Baltimore, MD",854,666
FANTASIES,Curtis Bay,"5520 PENNINGTON AVE
Baltimore, MD",910,314
FANTASY CAFÂ,Holabird Industrial Park,"6640 HOLABIRD AVE
Baltimore, MD",20,97
FEDERAL HILL LOUNGE,Federal Hill,"23 CROSS ST
Baltimore, MD",541,486
FELL'S POINT CARRYOUT,Fells Point,"1635 FLEET ST
Baltimore, MD",602,343
FIELDER'S TAVERN,Washington Village,"1184 NANTICOKE ST
Baltimore, MD",297,495
FIELDS OLD TRAIL,Mid-Govans,"5723 YORK RD
Baltimore, MD",183,974
FIELDS RIB HOUSE,Central Forest Park,"3308 GARRISON BLVD
Baltimore, MD",665,218
FILLIN' STATION,Morrell Park,"2501 WASHINGTON BLVD
Baltimore, MD",411,312
FIRESIDE NORTH LIQUORS,Coppin Heights/Ash-Co-East,"2201 NORTH AVE
Baltimore, MD",235,354
FISHERMANS WHARF INNER HARBOR,Inner Harbor,"219 PRESIDENT ST
Baltimore, MD",834,157
FIVE GUYS @ BREWERS HILL,Canton Industrial Area,"3600 BOSTON ST
Baltimore, MD",307,742
FIVE GUYS FAMOUS BURGERS & FRIES,Mount Vernon,"111 CENTRE ST
Baltimore, MD",983,456
FIVE GUYS FAMOUS BURGERS & FRIES,Inner Harbor,"201 PRATT ST
Baltimore, MD",988,419
FIVE POINT TAVERN,Fells Point,"1800 THAMES ST
Baltimore, MD",416,158
FIVE SEASONS,Mount Vernon,"830 GUILFORD AVE
Baltimore, MD",389,860
FLAMERS BURGER & CHICKEN,Dunbar-Broadway,"601 CAROLINE ST
Baltimore, MD",571,965
FLAMINGO  LOUNGE,Downtown,"403 BALTIMORE ST
Baltimore, MD",16,861
Fleming's Prime Steakhouse and Wine Bar,Inner Harbor,"720 Aliceanna st
Baltimore, MD",584,607
FLETCHERS,Fells Point,"701 BOND ST
Baltimore, MD",268,750
FLIP'S AT CLIPPER MILL,Hampden,"1601 UNION AVE
Baltimore, MD",617,719
FOGO DE CHAO,Inner Harbor,"600 PRATT ST
Baltimore, MD",613,804
FOODTOPIA,Downtown,"17 BALTIMORE ST
Baltimore, MD",464,986
FORT CHARLES PUB,SBIC,"1439 CHARLES ST
Baltimore, MD",243,759
FOUL BALL BAR,Washington Village,"839 CROSS ST
Baltimore, MD",725,196
FOUR G'S LIQUOR & LOUNGE,Howard Park,"4701 3 LIBERTY HEIGHTS AVE
Baltimore, MD",577,681
FOXY LADY,Downtown,"16 CUSTOM HOUSE AVE
Baltimore, MD",925,320
FRANKLINTOWN INN,Franklintown,"5200 FRANKLINTOWN RD
Baltimore, MD",801,101
FRANK'S PIZZA,Rosemont East,"6620 BELAIR RD
Baltimore, MD",325,666
fraternal order of police baltimore city lodge #3,Hampden,"3920 buena vista ave
Baltimore, MD",424,600
FRAZIER'S ON THE AVENUE,Hampden,"919 36TH ST
Baltimore, MD",785,697
FRED & MARGIE'S INN,Curtis Bay,"3605 FAIRHAVEN AVE
Baltimore, MD",648,637
FREDERICK STATION SALOON,Irvington,"4019 FREDERICK AVE
Baltimore, MD",878,97
FRIENDLY  FRIED  CHICKEN,Abell,"3221 GREENMOUNT AVE
Baltimore, MD",167,162
FRIEND'S RESTAURANT AND SPIRITS,Fells Point,"1634 ALICEANNA ST
Baltimore, MD",137,423
FULL MOON SALOON,Fells Point,"1710 ALICEANNA ST
Baltimore, MD",644,713
FULTON RESTAURANT,Penn North,"2733 PENNSLYVANIA AVE
Baltimore, MD",148,810
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),Penn North,"2201 FULTON Ave
Baltimore, MD",350,474
G & A RESTAURANT,Brewers Hill,"3802 EASTERN AVE
Baltimore, MD",909,677
GAFFNEY'S BACK FIN ( seasonal),Highlandtown,"415 HIGHLAND AVE
Baltimore, MD",620,201
GALLAGHERS BAR & GRILL    (938-940),Brewers Hill,"938 CONKLING ST
Baltimore, MD",729,958
GALLERY,Charles North,"1735 MARYLAND AVE
Baltimore, MD",385,329
GALLERY CAFÂ,Mount Vernon,"13 CENTRE ST
Baltimore, MD",971,804
GARDEN BEEF & BEER,Armistead Gardens,"4809 ERDMAN AVE
Baltimore, MD",36,70
GARDEN RESTAURANT,Riverside,"1501 LIGHT ST
Baltimore, MD",684,198
GECKOS,Canton,"2318 FLEET ST
Baltimore, MD",246,793
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),Inner Harbor,"1001 FLEET ST
Baltimore, MD",797,596
"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",Fells Point,"1746 FLEET ST
Baltimore, MD",527,888
GENTLEMEN OF CHARISMA,Middle East,"838 CHESTER ST
Baltimore, MD",166,231
GEORGE'S CAFETERIA,Dundalk Marine Terminal,"2700 BROENING HWY
Baltimore, MD",487,93
GEORGIO'S,Reisterstown Station,"6322 REISTERSTOWN RD
Baltimore, MD",649,407
GERMANIO'S RESTAURANT,Little Italy,"300 HIGH ST
Baltimore, MD",988,914
GIBSON'S,Butcher's Hill,"32 CHESTER ST
Baltimore, MD",213,101
GILMOR PLEASURE CLUB,New Southwest/Mount Clare,"347 GILMOR ST
Baltimore, MD",65,565
GINGER'S,Highlandtown,"421 CONKLING ST
Baltimore, MD",240,968
"GLADIATORS ASSOCIATIONS, INC",Franklin Square,"1315 MULBERRY ST
Baltimore, MD",454,380
GLASS DOOR lounge,Pleasant View Gardens,"1263 FAYETTE ST
Baltimore, MD",221,689
GOLDEN KEY RESTAURANT,Glenham-Belford,"5512 HARFORD RD
Baltimore, MD",323,182
GOLDEN NUGGET,Downtown,"411 BALTIMORE ST
Baltimore, MD",276,808
GOLDEN NUGGET LOUNGE,Downtown,"411 1 2 E BALTIMORE ST
Baltimore, MD",430,437
"GOLDEN WEST CAFÂ, INC.",Hampden,"1105 36TH ST
Baltimore, MD",520,124
GOOD TIMES BAR AND LOUNGE,Franklin Square,"1600 BALTIMORE ST
Baltimore, MD",75,241
GORDON'S,Charles North,"1818 MARYLAND AVE
Baltimore, MD",334,961
GOSSIP BISTRO,Downtown,"21 CALVERT ST
Baltimore, MD",763,571
GRAND CRU,Chinquapin Park-Belvedere,"527 BELVEDERE AVE
Baltimore, MD",883,88
GRANDVIEW RESTAURANT,Hampden,"3838 ROLAND AVE
Baltimore, MD",36,357
GRANITE,Canton,"2903 O DONNELL ST
Baltimore, MD",553,708
GRANT'S 2 SPOT,Penrose/Fayette Street Outreach,"2 WHEELER AVE
Baltimore, MD",257,835
GREAT TASTE CHINESE  RESTAURANT,Saint Agnes,"3444 WILKENS AVE
Baltimore, MD",681,285
GREENE ST CAFÂ,Seton Hill,"300 GREENE ST
Baltimore, MD",991,569
GREENHOUSE CAFÂ,Middle East,"725 WOLFE ST
Baltimore, MD",698,976
GREENMOUNT LOUNGE,Johnston Square,"1318 GREENMOUNT AVE
Baltimore, MD",711,927
GRENADIER CLUB,Upton,"1226 MC CULLOH ST
Baltimore, MD",215,792
GRIFFITH'S,Hampden,"3631 HICKORY ave
Baltimore, MD",403,804
GRILL ART,Hampden,"1011 36TH ST
Baltimore, MD",650,502
GRILLE 601,Dunbar-Broadway,"601 CAROLINE ST
Baltimore, MD",901,161
GROWLERS PUB,Canton,"600 POTOMAC ST
Baltimore, MD",719,659
GROWN FOLKS BAR,Brooklyn,"3525 HANOVER ST
Baltimore, MD",467,422
GRUMPIE'S,Federal Hill,"25 CROSS ST
Baltimore, MD",995,221
GRUNDY'S,Brewers Hill,"718 GRUNDY ST
Baltimore, MD",376,868
"GRUNWALD CLUB, INCORPORATED",Canton,"2825 O DONNELL ST
Baltimore, MD",678,204
JAUNG KAK RESTURANT(aka 18 W.20TH ST),Charles North,"18 20th ST
Baltimore, MD",974,506
JAVA JOE'S,Downtown,"8 BALTIMORE ST
Baltimore, MD",162,207
"JAY & KAY SUBWAY, INC.",Charles Village,"37 25TH ST
Baltimore, MD",814,80
JAY'S ON READ,Mount Vernon,"225 READ ST
Baltimore, MD",769,77
JAY'S WOLFE ST CAFÂ,Dunbar-Broadway,"610 WOLFE ST
Baltimore, MD",978,912
JAZZY BLUES CLUB,Upper Fells Point,"301 ANN ST
Baltimore, MD",287,650
"JD's SMOKEHOUSE BAR & GRILL, INC.",Canton,"3000 O DONNELL ST
Baltimore, MD",4,577
JEMELLA 'S CUT RATE,Sandtown-Winchester,"1831 MOSHER ST
Baltimore, MD",209,925
JERRY'S BAR,Mosher,"604 POPLAR GROVE ST
Baltimore, MD",475,659
JEWEL BOX LOUNGE,Downtown,"419 BALTIMORE ST
Baltimore, MD",808,675
JHJ SALOON,Fells Point,"2036 EASTERN AVE
Baltimore, MD",968,958
JIGGS TAVERN,Washington Village,"737 CARROLL ST
Baltimore, MD",975,798
JIM DANDY'S TAVERN,Curtis Bay,"4810 CURTIS AVE
Baltimore, MD",283,272
JIMMY'S RESTAURANT,Fells Point,"801 BROADWAY
Baltimore, MD",964,128
JIM'S DINER,Canton Industrial Area,"4806 HOLABIRD AVE
Baltimore, MD",244,267
JOCKEY CLUB/PALACE KITCHEN,Pimlico Good Neighbors,"Hayward Ave
Baltimore, MD",939,916
JOE SQUARED PIZZA AND BAR,Charles North,"133 NORTH AVE
Baltimore, MD",132,377
JOE'S TAVERN,Graceland Park,"1006 DUNDALK AVE
Baltimore, MD",834,284
JOE'S TAVERN,Morrell Park,"2709 11 WASHINGTON BLVD
Baltimore, MD",534,732
JOE'S TAVERN & PACKAGE GOODS,Glen,"6200 REISTERSTOWN RD
Baltimore, MD",418,52
JOHN'S LOUNGE,Sandtown-Winchester,"1519 RIGGS AVE
Baltimore, MD",197,582
JOY DELI,Downtown,"24 FAYETTE ST
Baltimore, MD",545,818
JP'S,Canton,"528 BOULDIN ST
Baltimore, MD",206,970
JR.'S BAR & GRILL,Locust Point,"1229 HULL ST
Baltimore, MD",763,970
JUNIORS,Federal Hill,"1117 CHARLES ST
Baltimore, MD",931,337
K.F.C.,Gay Street,"901 CAROLINE ST
Baltimore, MD",555,612
KABOBBI RESTAURANT,Fells Point,"1616 THAMES ST
Baltimore, MD",839,156
KALI'S COURT,Fells Point,"1606 THAMES ST
Baltimore, MD",133,762
POSITIONS UNLIMITED,Downtown,"14 CUSTOM HOUSE AVE
Baltimore, MD",411,869
POTBELLY SANDWICH WORK'S,Inner Harbor,"621 PRATT ST
Baltimore, MD",234,380
PRIMO'S,Loyola/Notre Dame,"100 COLDSPRING LN
Baltimore, MD",725,771
PULASKI FOOD SERVICE,Ellwood Park/Monument,"3505 PULASKI HWY
Baltimore, MD",763,187
PUR LOUNGE,Canton,"2322 BOSTON ST
Baltimore, MD",170,479
PURPLE GOOSE,Morrell Park,"2623 WASHINGTON BLVD
Baltimore, MD",723,402
"q s r,inc  - Mcdonald's",Hillen,"1600 argonne dr
Baltimore, MD",404,726
"qsr, inc.- McDonalds",Charles North,"15 north ave
Baltimore, MD",639,35
"QSR, INC. MCDONALD'S)",Moravia-Walther,"4635 HARFORD rd
Baltimore, MD",204,35
QUIGLEY 1/2 IRISH PUB,Ridgely's Delight,"633 PORTLAND AVE
Baltimore, MD",700,825
QUINOS,Riverside,"1465 KEY HIGHWAY
Baltimore, MD",604,227
QUIZINOS OF FALLS road,Inner Harbor,"100 CHARLES ST
Baltimore, MD",655,169
QUIZNOS,Canton,"2837 O DONNELL ST
Baltimore, MD",591,569
QUIZNO'S,Downtown,"10 CALVERT ST
Baltimore, MD",669,955
QUIZNO'S,Mid-Town Belvedere,"201 CHASE ST
Baltimore, MD",161,616
QUIZNOS OF FELLS POINT,Fells Point,"716 BROADWAY
Baltimore, MD",717,37
QUO VADIS DEMOCRATIC CLUB,Fells Point,"1921 FLEET ST
Baltimore, MD",453,633
RA SUSHI,Fells Point,"701 EDEN ST
Baltimore, MD",236,925
RADISSON CROSS KEYS HOTEL,Cross Keys,"5050 FALLS RD
Baltimore, MD",668,405
RADISSON HOTEL AT CROSS KEYS,Cross Keys,"5102 FALLS RD
Baltimore, MD",24,619
RAFTERS,Riverside,"620 FORT AVE
Baltimore, MD",631,668
RAINBOW HOMESTYLE BUFFET,Frankford,"5016 SINCLAIR LN
Baltimore, MD",278,812
RAINBOW'S  BAR,Washington Village,"1175 SARGEANT ST
Baltimore, MD",500,438
RALLO'S RESTAURANT,Riverside,"838 FORT Ave
Baltimore, MD",399,264
RAMS HEAD TAVERN,Downtown,"20 MARKET PL
Baltimore, MD",554,339
RANDY'S BAR,Broadway East,"2135 NORTH AVE
Baltimore, MD",942,215
RAS-A-TER INTERNATIONAL,Easterwood,"2103 NORTH AVE
Baltimore, MD",857,774
RASCALS COMEDY CLUB,Downtown,"6 MARKET PL
Baltimore, MD",185,645
RAVE  INN,Curtis Bay,"4507 PENNINGTON AVE
Baltimore, MD",125,69
RAY LEWIS' FULL MOON B-B-Q,Canton,"2400 BOSTON ST
Baltimore, MD",835,943
RAY'S TAVERN,Saint Helena,"6500 ST HELENA AVE
Baltimore, MD",628,561
RAYZER'S,SBIC,"13 RANDALL ST
Baltimore, MD",461,877
RED DOOR LOUNGE,Bridgeview/Greenlawn,"1000 PAYSON ST
Baltimore, MD",795,81
RED FISH,Canton,"845 MONTFORD AVE
Baltimore, MD",651,700
RED FOX LIQUORS,Penn North,"2733 PENNSYLVANIA AVE
Baltimore, MD",104,492
RED HOUSE TAVERN INC.,Canton,"2239 ESSEX ST
Baltimore, MD",972,711
RED LYON TAVERN,Canton,"501 DECKER AVE
Baltimore, MD",875,577
RED MAPLE,Mount Vernon,"930 CHARLES ST
Baltimore, MD",514,136
RED ROOSTER,Frankford,"6412 FRANKFORD AVE
Baltimore, MD",378,65
RED SQUARE RESTAURANT,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD",830,118
REGAN'S TAVERN,Highlandtown,"4001 EASTERN AVE
Baltimore, MD",344,848
REGI'S BAR & RESTAURANT,Federal Hill,"1002 LIGHT ST
Baltimore, MD",361,128
GUS RESTAURANT (3103-05),Northwest Community Action,"3103 NORTH AVE
Baltimore, MD",388,895
GYPSIES,Baltimore Highlands,"4020 LOMBARD ST
Baltimore, MD",160,830
H.I.S. PLACE,Canton,"2822 HUDSON ST
Baltimore, MD",301,65
HABENERO GRILL,Greektown,"4701 EASTERN AVE
Baltimore, MD",213,828
"HAMILTON HOMING PIGEON CLUB, INC.",Frankford,"4810 GUNTHER AVE
Baltimore, MD",674,616
HAMPDEN REPUBLICAN CLUB,Hampden,"3535 CHESTNUT AVE
Baltimore, MD",892,421
harbor way inn,Ridgely's Delight,"737 pratt st
Baltimore, MD",648,219
HARBORSIDE CHICKEN & SEAFOOD,Dunbar-Broadway,"600 WOLFE ST
Baltimore, MD",896,749
HARD ROCK CAFÂ,Inner Harbor,"601 PRATT ST
Baltimore, MD",845,924
HARD ROCK CAFÂ-OUTDOOR PIER,Inner Harbor,"601 PRATT ST
Baltimore, MD",987,582
HARFORD HOUSE,North Harford Road,"7509 HARFORD RD
Baltimore, MD",326,670
"HARFORD ROAD GROUP, LLC",Glenham-Belford,"5516 HARFORD RD
Baltimore, MD",817,140
HARFORD ROAD LIQUORS,Lauraville,"4627 HARFORD RD
Baltimore, MD",845,247
HARRAR CAFÂ,Washington Village,"821 WASHINGTON BLVD
Baltimore, MD",183,763
MIDWAY BAR,Downtown,"421 BALTIMORE ST
Baltimore, MD",460,762
MIKE MCGOVERN'S,Canton,"1129 CLINTON ST
Baltimore, MD",954,159
MIKE'S PLACE,Hampden,"1102 36TH ST
Baltimore, MD",239,533
MILTON AT CHARLES ST,Downtown,"336 CHARLES ST
Baltimore, MD",35,816
MINATO RESTAURANT,Mid-Town Belvedere,"1013 CHARLES ST
Baltimore, MD",352,807
MINATO/CAFE VIET RESTAURANT,Mount Vernon,"800 CHARLES ST
Baltimore, MD",953,843
MISS SHIRLEY'S CAFÂ,Roland Park,"513 COLDSPRING LN
Baltimore, MD",161,946
MOM'S PLACE,Washington Village,"1201 CROSS ST
Baltimore, MD",792,734
MONDO BONDO ITALIAN BISTRO,Downtown,"30 MARKET PL
Baltimore, MD",188,532
MONUMENT HOUSE,Milton-Montford,"2300 MONUMENT ST
Baltimore, MD",168,372
MORGAN STATE-FACULTY,Stonewood-Pentwood-Winston,"1700 coldspring ln
Baltimore, MD",905,941
MORTON'S--THE  STEAKHOUSE,Inner Harbor,"300 CHARLES ST
Baltimore, MD",732,484
MO'S CRAB & PASTA FACTORY,Inner Harbor,"502 ALBEMARLE ST
Baltimore, MD",922,814
MOTHER'S  FEDERAL  HILL  GRILL,Federal Hill,"1113 CHARLES ST
Baltimore, MD",271,138
"MOUNT VERNON CLUB OF BALTIMORE, INC.",Mount Vernon,"8 MOUNT VERNON PL
Baltimore, MD",953,746
MOUNT VERNON STABLE & SALOON,Mount Vernon,"909 CHARLES ST
Baltimore, MD",264,569
MOUSE TRAP,Downtown,"12 CUSTOM HOUSE AVE
Baltimore, MD",351,673
MR. C. PLACE,Washington Village,"1001 CAREY ST
Baltimore, MD",341,279
MR. JOE'S BAR AND CUT RATE LIQUORS,Baltimore-Linwood,"1 HIGHLAND AVE
Baltimore, MD",964,380
MT VERNON ENTERTAINMENT LLC,Downtown,"347 CALVERT ST
Baltimore, MD",578,16
MT. PLEASANT INN,Baltimore Highlands,"105 CONKLING ST
Baltimore, MD",978,805
MT. ROYAL TAVERN,Mid-Town Belvedere,"1204 MOUNT ROYAL AVE
Baltimore, MD",893,933
