Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
M825887,8,otc alterations permit,8/30/2017,945,7,2516,,Union,St,,,street space,filed,8/30/2017,8/30/2017,,,,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79667082452828, -122.44103045743849)",1.47692E+11
M826607,8,otc alterations permit,8/31/2017,1454,022F,396,,23rd,Av,,,street space,issued,8/31/2017,8/31/2017,8/31/2017,,8/31/2017,,,,,,,,0,,,,,,,,,,,,1,Outer Richmond,94121,"(37.780466837572774, -122.48243362907256)",1.47712E+12
M826867,8,otc alterations permit,9/1/2017,4103,105,577,,Mississippi,St,,,street space,issued,9/1/2017,9/1/2017,9/1/2017,,9/1/2017,,,,,,,,1,,,,,,,,,,,,10,Potrero Hill,94107,"(37.75908497826554, -122.39393677953211)",1.47721E+12
2.01709E+11,3,additions alterations or repairs,9/1/2017,7104,40,139,,Lobos,St,,,horizontal & vertical addition,filed,9/1/2017,9/1/2017,,,,Y,2,2,,,,400000,,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,"(37.71466591040003, -122.45725020868305)",1.47732E+12
M827187,8,otc alterations permit,9/5/2017,528,19,1645,,Filbert,St,,,street space,issued,9/5/2017,9/5/2017,9/5/2017,,9/5/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79890275404871, -122.4264906836037)",1.47733E+12
2.01709E+11,8,otc alterations permit,9/5/2017,1288,27,4958,,17th,St,,,"kitchen remodel, like per like.",complete,2/1/2018,9/5/2017,9/5/2017,2/1/2018,9/5/2017,,2,2,,,3/5/2018,19895,19895,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,5,Haight Ashbury,94117,"(37.761654447768066, -122.45160680426943)",1.47734E+12
M827347,8,otc alterations permit,9/5/2017,3558,130,3440,,16th,St,1,,street space permit,issued,9/5/2017,9/5/2017,9/5/2017,,9/5/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.76469502967081, -122.42956075822154)",1.47739E+12
M827907,8,otc alterations permit,9/6/2017,6636,23,33,,Day,St,,,street space,issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,,,,,,,0,,,,,,,,,,,,8,Noe Valley,94110,"(37.74285654395222, -122.42352237574516)",1.47755E+12
2.01709E+11,8,otc alterations permit,9/6/2017,0252C,2,1201,,California,St,102,,"kitchen remodel, no walls mofied, layout unchanged.",issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,16,16,,,3/6/2018,18000,21000,apartments,82,apartments,82,0,,1,constr type 1,1,constr type 1,,3,Nob Hill,94109,"(37.79107681810522, -122.41433878109024)",1.47763E+12
M828147,8,otc alterations permit,9/6/2017,513,009C,2456,,Filbert,St,,,street space,issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.797763191132, -122.43995965089185)",1.47765E+11
2.01709E+11,8,otc alterations permit,9/6/2017,5924,24,2400,,San Bruno,Av,,,install accent lighting onto existing canopy for gas station. n/a ordinance #155-13,issued,11/21/2017,9/6/2017,11/21/2017,,11/21/2017,,1,1,,,3/21/2018,5000,5000,filling/service stn,0,filling/service stn,0,2,,5,wood frame (5),5,wood frame (5),,9,Portola,94134,"(37.73216211091653, -122.4057499333982)",1.47767E+12
M828227,8,otc alterations permit,9/6/2017,2199,4,2177,,18th,Av,,,street space,issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,,,,,,,1,,,,,,,,,,,,7,West of Twin Peaks,94116,"(37.747259735828365, -122.47526306832602)",1.47768E+12
2.01709E+11,8,otc alterations permit,9/6/2017,181,4,1351,,Mason,St,,,soft story retrofit per sfbc ch 4d  2016 appendix a4,filed,9/6/2017,9/6/2017,,,,,3,3,,,,35000,0,apartments,13,apartments,13,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94133,"(37.79583998077108, -122.4119843592411)",1.4777E+11
M828387,8,otc alterations permit,9/6/2017,4148,21,2655,,Harrison,St,0,,street space permit,issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.7548721339115, -122.41179257408804)",1.47772E+12
M828487,8,otc alterations permit,9/6/2017,1524,2,419,,20th,Av,,,street space,issued,9/6/2017,9/6/2017,9/6/2017,,9/6/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77984141989467, -122.47967138941962)",1.47777E+12
2.01709E+11,8,otc alterations permit,9/7/2017,3584,034A,595,,Noe,St,,,"revision to 2017-0125-7870, remove property line windows, remove ab009 requirement, remove fire sprinkler requirement, revise title 24 for altered sprinklers",filed,9/7/2017,9/7/2017,,,,,3,3,,,,1,1,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,8,Castro/Upper Market,94114,"(37.759561874811496, -122.4324132663591)",1.4778E+12
M828967,8,otc alterations permit,9/7/2017,1270,31,858,,Ashbury,St,,,street space,issued,9/7/2017,9/7/2017,9/7/2017,,9/7/2017,,,,,,,,1,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.766313591361055, -122.44587944469814)",1.47793E+11
M829047,8,otc alterations permit,9/7/2017,1841,4,1431,,12th,Av,,,street space & sidewalk,issued,9/7/2017,9/7/2017,9/7/2017,,9/7/2017,,,,,,,,1,,,,,,,,,,,,7,Inner Sunset,94122,"(37.76139574781725, -122.46967909040323)",1.47795E+12
M829147,8,otc alterations permit,9/7/2017,6531,24,329,,San Jose,Av,,,street space,issued,9/7/2017,9/7/2017,9/7/2017,,9/7/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94110,"(37.74980172137057, -122.4211028895713)",1.47798E+12
M829427,8,otc alterations permit,9/8/2017,2623,030A,4136,,17th,St,,,street space permit,issued,9/8/2017,9/8/2017,9/8/2017,,9/8/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.76252049376376, -122.43821457811106)",1.4781E+12
M829468,8,otc alterations permit,9/8/2017,3702,390,33,A,08th,St,,,"per pa #201209069080s, create new address at block 3702, lot 390 as; 29, 31, 33a, 33b, 33c 8th street",issued,9/8/2017,9/8/2017,9/8/2017,,9/8/2017,,,,,,,,1024.86,,,,,,,,,,,,6,South of Market,94103,"(37.77850219390184, -122.413426065671)",1.47811E+12
2.01709E+11,8,otc alterations permit,9/8/2017,5384C,009B,91,,Maddux,Av,,,re-roofing,issued,9/8/2017,9/8/2017,9/8/2017,,9/8/2017,,2,2,,,3/8/2018,5500,5500,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,10,Bayview Hunters Point,94124,"(37.733740627298225, -122.3983044804418)",1.47818E+12
M830047,8,otc alterations permit,9/11/2017,6729,55,2685,,Diamond,St,,,street space,issued,9/11/2017,9/11/2017,9/11/2017,,9/11/2017,,,,,,,,0,,,,,,,,,,,,8,Glen Park,94131,"(37.73628864277122, -122.43415259924139)",1.47826E+12
2.01709E+11,8,otc alterations permit,9/11/2017,1465,1,405,,33rd,Av,,,"replace 32 windows (to match) with marvin tilt packs - aluminum clad, visible to the street.",complete,1/29/2018,9/11/2017,10/6/2017,1/29/2018,10/6/2017,,4,4,,,10/6/2018,42000,42000,apartments,18,apartments,18,0,,5,wood frame (5),5,wood frame (5),,1,Outer Richmond,94121,"(37.78136811559957, -122.49363803831558)",1.47845E+12
M830867,8,otc alterations permit,9/12/2017,1254,65,36,,Downey,St,,,street space,issued,9/12/2017,9/12/2017,9/12/2017,,9/12/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.7681487863909, -122.44719869500622)",1.47855E+11
M830987,8,otc alterations permit,9/12/2017,651,65,2062,,Pine,St,0,,street space,issued,9/12/2017,9/12/2017,9/12/2017,,9/12/2017,,,,,,,,1,,,,,,,,,,,,5,Pacific Heights,94115,"(37.78872743496688, -122.42978659657652)",1.47858E+12
2.01709E+11,8,otc alterations permit,9/12/2017,5519,41,90,,Mirabel,Av,,,reroofing,issued,9/12/2017,9/12/2017,9/12/2017,,9/12/2017,,3,3,,,1/12/2018,4500,4500,apartments,4,apartments,4,0,,5,wood frame (5),5,wood frame (5),,9,Bernal Heights,94110,"(37.74638842304146, -122.41540823896668)",1.47863E+12
M831333,8,otc alterations permit,9/13/2017,0638A,1,2241,,Sacramento,St,1,,street space,filed,9/13/2017,9/13/2017,,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.79010424588407, -122.42974339319969)",1.47881E+12
M831367,8,otc alterations permit,9/13/2017,7259,5,27,,Morningside,Dr,,,street space,issued,9/13/2017,9/13/2017,9/13/2017,,9/13/2017,,,,,,,,1,,,,,,,,,,,,7,Sunset/Parkside,94132,"(37.7332029870035, -122.49263081264493)",1.47883E+12
2.01709E+11,8,otc alterations permit,9/12/2017,1225,26,424,,Cole,St,0,,soft story upgrade per sfebc chapter 4d design criteria 2016 cebc appendix a-4.,filed,9/12/2017,9/12/2017,,,,,4,4,,,,40000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,5,Haight Ashbury,94117,"(37.77109396780594, -122.45021848579066)",1.47884E+12
2.01709E+11,8,otc alterations permit,9/13/2017,1637,26,646,,08th,Av,,,soft story retrofit per sfebc chapter 4d: 2015 iebc appendix a-4,filed,9/13/2017,9/13/2017,,,,,4,4,,,,75000,0,apartments,8,apartments,8,2,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.7762501986109, -122.46576050520117)",1.47886E+12
2.01709E+11,8,otc alterations permit,9/13/2017,3604,86,4021,,20th,St,,,to obtain final inspection for work approved under pa#2011-02-28-1024 si. all work is complete,issued,9/13/2017,9/13/2017,9/13/2017,,9/13/2017,,2,2,,,1/13/2018,1,1,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,8,Castro/Upper Market,94114,"(37.75768193853806, -122.43071594972223)",1.47892E+12
M831667,8,otc alterations permit,9/13/2017,301,9,930,,Post,St,,,street space,issued,9/13/2017,9/13/2017,9/13/2017,,9/13/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.78745681849293, -122.41725164066781)",1.4791E+11
2.01709E+11,8,otc alterations permit,9/14/2017,5712,1,2,,Gladys,St,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,9/14/2017,9/14/2017,,,,,3,3,,,,25000,0,apartments,5,apartments,5,2,,5,wood frame (5),5,wood frame (5),,9,Bernal Heights,94110,"(37.74014544876108, -122.42248695343486)",1.47925E+12
M832167,8,otc alterations permit,9/15/2017,39,9,212,,Francisco,St,,,street space,issued,9/15/2017,9/15/2017,9/15/2017,,9/15/2017,,,,,,,,0,,,,,,,,,,,,3,North Beach,94133,"(37.80544948054257, -122.40884672796032)",1.4795E+11
M832227,8,otc alterations permit,9/15/2017,1222,34,1519,,Oak,St,,,street space,issued,9/15/2017,9/15/2017,9/15/2017,,9/15/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.77199141744358, -122.4443947893334)",1.47958E+11
2.01709E+11,3,additions alterations or repairs,9/15/2017,1731,47,1845,,Lincoln,Wy,,,soft story retrofit per sfbc ch 34b 2012 iebc appendix a4,filed,9/15/2017,9/15/2017,,,,,3,3,,,,75000,,apartments,8,apartments,8,2,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.76515003922219, -122.47798721089993)",1.47963E+12
M832329,8,otc alterations permit,9/15/2017,575,6,1740,,Pacific,Av,,,street space,issued,9/15/2017,9/15/2017,9/15/2017,,9/15/2017,,,,,,,,0,,,,,,,,,,,,2,Pacific Heights,94109,"(37.7949824761325, -122.42407352028984)",1.47966E+11
2.01709E+11,8,otc alterations permit,9/15/2017,212,26,1152,,Mason,St,,,soft story retrofit per sfebc chapter 4d engineering criteria 2016 cebc appendix a-4,filed,9/15/2017,9/15/2017,,,,,3,3,,,,90000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94108,"(37.79422812630359, -122.41104117563685)",1.47967E+12
M832447,8,otc alterations permit,9/15/2017,3598,70,3631,,19th,St,,,street space,issued,9/15/2017,9/15/2017,9/15/2017,,9/15/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94110,"(37.75965682433462, -122.42439963626809)",1.47977E+12
2.01709E+11,8,otc alterations permit,9/15/2017,3532,50,54,,Woodward,St,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4. n/a for maher,filed,9/15/2017,9/15/2017,,,,,3,3,,,,50000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,9,Mission,94103,"(37.769004157975075, -122.42103534556837)",1.47984E+12
M832908,8,otc alterations permit,9/18/2017,3513,77,1316,,Jessie,St,0,,street space,issued,9/18/2017,9/18/2017,9/18/2017,,9/18/2017,,,,,,,,1,,,,,,,,,,,,6,Mission,94103,"(37.771191883265914, -122.42124229429204)",1.48003E+12
2.01709E+11,8,otc alterations permit,9/19/2017,551,14,1640,,Vallejo,St,,,#6- repair existing balcony at rear of bldg. might exceed 50% required to do the repair in-kind.,issued,10/6/2017,9/19/2017,10/6/2017,,10/6/2017,,4,4,,,4/6/2018,20000,20000,apartments,8,apartments,8,2,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.79672605972197, -122.42512267804054)",1.48009E+11
M833287,8,otc alterations permit,9/19/2017,177,18,1056,,Grant,Av,,,street space permit,issued,9/19/2017,9/19/2017,9/19/2017,,9/19/2017,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94133,"(37.79677804953697, -122.40662960677848)",1.48018E+12
M833427,8,otc alterations permit,9/20/2017,2929,31,1135,,Ulloa,St,,,street space,issued,9/20/2017,9/20/2017,9/20/2017,,9/20/2017,,,,,,,,1,,,,,,,,,,,,7,West of Twin Peaks,94127,"(37.74133746471026, -122.46832988512251)",1.48026E+12
M833447,8,otc alterations permit,9/20/2017,1381,28,148,,22nd,Av,,,street space permit,issued,9/20/2017,9/20/2017,9/20/2017,,9/20/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.785009155325405, -122.48153589438427)",1.48026E+12
2.01709E+11,8,otc alterations permit,9/20/2017,624,007A,1980,,Sacramento,St,,,"soft story retrofit per sfebc chapter 4d, 2016 cebc appendix a-4. new steel special moment frames and shear walls.",issued,2/23/2018,9/20/2017,2/23/2018,,2/23/2018,,4,4,,,2/23/2019,100000,100000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.791198112167685, -122.42540095955862)",1.48027E+12
2.01709E+11,8,otc alterations permit,9/20/2017,6552,2,1360,,Church,St,,,reroofing,issued,9/20/2017,9/20/2017,9/20/2017,,9/20/2017,,2,2,,,3/20/2018,9000,9000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,8,Noe Valley,94114,"(37.749049450311205, -122.42746964090557)",1.48029E+12
M833667,8,otc alterations permit,9/20/2017,2648,23,85,,Diamond,St,,,street space,issued,9/20/2017,9/20/2017,9/20/2017,,9/20/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761103979945986, -122.43689593669636)",1.48035E+12
2.01709E+11,3,additions alterations or repairs,9/20/2017,1845,50,1470,,09th,Av,,,accessory dwelling unit per sf ordinance #162-16,filed,9/20/2017,9/20/2017,,,,,4,4,,,,180000,,apartments,12,apartments,14,2,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.76084691244727, -122.4657586459696)",1.48036E+12
M833807,8,otc alterations permit,9/21/2017,1587,32,634,,45th,Av,,,street space,issued,9/21/2017,9/21/2017,9/21/2017,,9/21/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77643289338661, -122.50571332976259)",1.48044E+12
2.01709E+11,3,additions alterations or repairs,9/21/2017,156,44,1656,,Leavenworth,St,0,,addition of 3 new dwelling untis on ground floor. ordinance #162-16,filed,9/21/2017,9/21/2017,,,,,4,4,,,,179226,,apartments,12,apartments,15,2,,5,wood frame (5),5,wood frame (5),Y,3,Nob Hill,94109,"(37.79646177476242, -122.4165696034118)",1.48045E+12
M833928,8,otc alterations permit,9/21/2017,6619,32,386,,29th,St,,,street space,issued,9/21/2017,9/21/2017,9/21/2017,,9/21/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94131,"(37.74374865969888, -122.4284571033724)",1.48049E+12
M834028,8,otc alterations permit,9/21/2017,1242,1,969,,Buena Vista West,Av,0,,street space,issued,9/21/2017,9/21/2017,9/21/2017,,9/21/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.770224352816335, -122.4434436223119)",1.48053E+12
2.01709E+11,8,otc alterations permit,9/21/2017,3803,5,185,,Berry,St,,,change out sprinkler heads to new as part of restroom renovation ref 201705176865. n/a for maher.,issued,9/21/2017,9/21/2017,9/21/2017,,9/21/2017,,5,5,,Y,3/21/2018,8500,8500,office,0,office,0,2,,1,constr type 1,1,constr type 1,,6,Mission Bay,94158,"(37.776327605237896, -122.39180776771579)",1.48054E+12
M834207,8,otc alterations permit,9/22/2017,2617,63,984,,Ashbury,St,0,,street space,filed,9/22/2017,9/22/2017,,,,,,,,,,,,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.764403420046506, -122.44564631928716)",1.48062E+12
M834508,8,otc alterations permit,9/22/2017,633,001E,2648,,California,St,,,street space,issued,9/22/2017,9/22/2017,9/22/2017,,9/22/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.788683352682646, -122.43796596847604)",1.48075E+12
M834907,8,otc alterations permit,9/25/2017,489,34,2241,,Chestnut,St,,,street space,issued,9/25/2017,9/25/2017,9/25/2017,,9/25/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80002783124211, -122.44020249234124)",1.48088E+11
M835467,8,otc alterations permit,9/26/2017,3753,175,260,,Clara,St,1,,street space,issued,9/26/2017,9/26/2017,9/26/2017,,9/26/2017,,,,,,,,1,,,,,,,,,,,,6,South of Market,94107,"(37.77842588574297, -122.40396764404419)",1.48103E+12
M836087,8,otc alterations permit,9/27/2017,6580,17,450,,27th,St,,,street space,issued,9/27/2017,9/27/2017,9/27/2017,,9/27/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94131,"(37.74693540836028, -122.43041136498927)",1.48117E+12
M836467,8,otc alterations permit,9/27/2017,1449,40,1623,,Clement,St,,,"per pa #201508134169, add address to legalize unit on ground floor at block 1449, lot 040 as; 1623 clement street",issued,9/27/2017,9/27/2017,9/27/2017,,9/27/2017,,,,,,,,243.66,,,,,,,,,,,,1,Outer Richmond,94121,"(37.78217376706153, -122.47678744735495)",1.48129E+12
M836667,8,otc alterations permit,9/28/2017,1520,26,550,,25th,Av,,,street space,issued,9/28/2017,9/28/2017,9/28/2017,,9/28/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.779079862805496, -122.48433253066354)",1.48135E+12
M836747,8,otc alterations permit,9/28/2017,3643,11,3324,,24th,St,,,street space,issued,9/28/2017,9/28/2017,9/28/2017,,9/28/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.75236212879656, -122.41909892126345)",1.4814E+12
M836887,8,otc alterations permit,9/28/2017,189,5,1200,,Washington,St,,,street space,issued,9/28/2017,9/28/2017,9/28/2017,,9/28/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.794439312685796, -122.41331376201168)",1.48146E+11
M837027,8,otc alterations permit,9/29/2017,1599,035A,722,,46th,Av,,,street space,issued,9/29/2017,9/29/2017,9/29/2017,,9/29/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77479966482634, -122.5065935591978)",1.48149E+12
2.01709E+11,8,otc alterations permit,9/29/2017,1822,34,2609,,Judah,St,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4.,filed,9/29/2017,9/29/2017,,,,,3,3,,,,78000,0,apartments,10,apartments,10,2,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.760873218269545, -122.49015434967981)",1.48159E+12
M837947,8,otc alterations permit,10/2/2017,3629,3,106,,Chattanooga,St,,,street space,issued,10/2/2017,10/2/2017,10/2/2017,,10/2/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75467488272112, -122.42686927153667)",1.4818E+12
M838307,8,otc alterations permit,10/3/2017,6506,32,4171,,24th,St,,,street space,issued,10/3/2017,10/3/2017,10/3/2017,,10/3/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75096390095189, -122.43553887374466)",1.48188E+12
M838667,8,otc alterations permit,10/3/2017,498,5,2835,,Van Ness,Av,,,street space,issued,10/3/2017,10/3/2017,10/3/2017,,10/3/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80179091983737, -122.42511219466573)",1.482E+11
M838907,8,otc alterations permit,10/4/2017,6664,25,147,,Laidley,St,,,street space,issued,10/4/2017,10/4/2017,10/4/2017,,10/4/2017,,,,,,,,1,,,,,,,,,,,,8,Glen Park,94131,"(37.73966347715767, -122.42896892472987)",1.48205E+12
M839347,8,otc alterations permit,10/4/2017,307,8,420,,Mason,St,,,street space permit and mta permit,issued,10/4/2017,10/4/2017,10/4/2017,,10/4/2017,,,,,,,,1,,,,,,,,,,,,3,Tenderloin,94102,"(37.7875651793348, -122.40959281339539)",1.48217E+12
M839407,8,otc alterations permit,10/4/2017,1255,77,1333,,Waller,St,,,street space,issued,10/4/2017,10/4/2017,10/4/2017,,10/4/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.7689778081828, -122.44566140305265)",1.48219E+11
M839507,8,otc alterations permit,10/4/2017,2199,004C,2163,,18th,Av,,,street space,issued,10/4/2017,10/4/2017,10/4/2017,,10/4/2017,,,,,,,,1,,,,,,,,,,,,7,West of Twin Peaks,94116,"(37.74750057998889, -122.47527212901556)",1.48222E+12
M839987,8,otc alterations permit,10/5/2017,6664,72,283,,Randall,St,0,,street space permit,issued,10/5/2017,10/5/2017,10/5/2017,,10/5/2017,,,,,,,,1,,,,,,,,,,,,8,Glen Park,94131,"(37.740366387191706, -122.42960705685782)",1.4823E+12
M840047,8,otc alterations permit,10/5/2017,6571,21,1101,,Capp,St,,,street space,issued,10/5/2017,10/5/2017,10/5/2017,,10/5/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.74886250056752, -122.41681726570329)",1.48232E+12
M840207,8,otc alterations permit,10/5/2017,3642,19,3266,,24th,St,,,street space permit - renewal of permit #m797867,issued,10/5/2017,10/5/2017,10/5/2017,,10/5/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.75249406266713, -122.41781004248826)",1.48236E+12
M840247,8,otc alterations permit,10/5/2017,3768,22,38,,Bryant,St,,,street space,issued,10/5/2017,10/5/2017,10/5/2017,,10/5/2017,,,,,,,,1,,,,,,,,,,,,6,Financial District/South Beach,94105,"(37.78746581004457, -122.3889799358202)",1.48237E+12
M840407,8,otc alterations permit,10/5/2017,1200,4,515,,Broderick,St,,,street space permit,issued,10/5/2017,10/5/2017,10/5/2017,,10/5/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.775011685325396, -122.43983132941993)",1.48241E+12
2.0171E+11,8,otc alterations permit,10/6/2017,2307,36,2230,,43rd,Av,,,revision to 201703101218 change floor plan layout (swap bedroom and family room),filed,10/6/2017,10/6/2017,,,,,,,,,,,,,,,,2,,,,,,,4,Sunset/Parkside,94116,"(37.745040161011325, -122.5012951058699)",1.48247E+12
M840687,8,otc alterations permit,10/6/2017,2658,45,3049,,Market,St,0,,street space,issued,10/6/2017,10/6/2017,10/6/2017,,10/6/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.76087622869976, -122.44213505089589)",1.48251E+12
M841189,8,otc alterations permit,10/10/2017,3514,51,140,,South Van Ness,Av,209,,street space w/mta,issued,10/10/2017,10/10/2017,10/10/2017,,10/10/2017,,,,,,,,1,,,,,,,,,,,,6,Mission,94103,"(37.77158689002699, -122.41881912867046)",1.48261E+12
M841430,8,otc alterations permit,10/10/2017,6246,8,226,,Leland,Av,,,street space,issued,10/10/2017,10/10/2017,10/10/2017,,10/10/2017,,,,,,,,1,,,,,,,,,,,,10,Visitacion Valley,94134,"(37.71292270891837, -122.40787558653895)",1.48268E+12
M841827,8,otc alterations permit,10/10/2017,3564,75,3874,,17th,St,,,streetspace,issued,10/10/2017,10/10/2017,10/10/2017,,10/10/2017,,,,,,,,0,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.76286975480071, -122.43233096942377)",1.48279E+12
M843027,8,otc alterations permit,10/12/2017,826,16,925,,Fell,St,,,street space,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.774351421332014, -122.43310025056088)",1.48307E+12
M843167,8,otc alterations permit,10/12/2017,6735,32,1167,,Bosworth,St,,,street space,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1,,,,,,,,,,,,8,West of Twin Peaks,94131,"(37.73458968092158, -122.43985730313807)",1.48311E+12
M843327,8,otc alterations permit,10/12/2017,5517,54,3,,Coso,Av,,,street space,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1,,,,,,,,,,,,9,Bernal Heights,94110,"(37.746671492102195, -122.41801096296689)",1.48318E+12
2.0171E+11,8,otc alterations permit,10/12/2017,1432,12,363,,Arguello,Bl,,,soft story retrofit per sfebc chapter 4d engineering criteria 2016 cebc appendix a-4,filed,10/12/2017,10/12/2017,,,,,3,3,,,,55000,0,apartments,8,apartments,8,2,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.7838658457791, -122.45944122570951)",1.48318E+12
2.0171E+11,8,otc alterations permit,10/12/2017,154,34,19,,Morrell,St,,,"remove all layers of existing roof. install new roof in-kind, not visible from the public right-of-way",filed,10/12/2017,10/12/2017,,,,,,,,,,,,,,,,2,,,,,,,3,Russian Hill,94109,"(37.79563728828684, -122.41929174080319)",1.4832E+11
M843528,8,otc alterations permit,10/12/2017,2753,4,472,,Douglass,St,,,street space & sidewalk repair,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1,,,,,,,,,,,,8,Twin Peaks,94114,"(37.755880825482585, -122.43925250833422)",1.48323E+12
M843607,8,otc alterations permit,10/13/2017,516,23,2181,,Greenwich,St,,,street space,issued,10/13/2017,10/13/2017,10/13/2017,,10/13/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79883096020246, -122.4355762254483)",1.48325E+11
M843667,8,otc alterations permit,10/13/2017,979,11,2810,,Washington,St,,,street space,issued,10/13/2017,10/13/2017,10/13/2017,,10/13/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.79116931991321, -122.43990438120825)",1.48326E+12
